,furnishing,bathrooms,facing,security_numeric,price_numeric,built_up_area_numeric_in_sq_ft,balcony_numeric,floor_number,total_floors,age_numeric,AC,Bed,CCTV,Cupboard,Fridge,Geyser,Intercom,Microwave,Not Found,Sofa,Stove,TV,Washing Machine,+10,+2,+5,+7,Garden,Gas Pipeline,Gated Community,Gym,Intercom,Kids Area,Lift,Not Found,Parking,Pet Allowed,Pool,Power Backup,Sports Facility,Water Supply
76,Semi Furnished,2,East,250000.0,80000,1450,1,5,14,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
77,Fully Furnished,2,East,300000.0,90000,1150,1,4,10,4,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
78,Semi Furnished,2,East,200000.0,68000,1250,1,16,24,6,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
79,Semi Furnished,2,East,400000.0,130000,1450,1,4,9,11,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
80,Semi Furnished,2,North-West,170000.0,87000,665,0,7,17,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1
81,Unfurnished,2,East,150000.0,48500,650,0,2,22,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1
82,Fully Furnished,2,East,250000.0,83000,1250,1,4,9,12,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
84,Semi Furnished,2,South-East,340000.0,120000,1450,1,10,22,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,Semi Furnished,3,West,190000.0,95000,1150,1,14,16,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,Semi Furnished,2,East,250000.0,80000,1005,1,11,16,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
88,Semi Furnished,3,South-East,400000.0,130000,765,0,10,16,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
89,Semi Furnished,2,North-West,140000.0,70000,641,0,8,17,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90,Unfurnished,2,West,350000.0,112000,765,0,2,16,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
91,Unfurnished,2,North-East,250000.0,85000,930,1,5,16,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
92,Unfurnished,2,West,150000.0,52000,650,0,11,22,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
93,Fully Furnished,2,East,150000.0,50000,750,0,4,7,18,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
94,Unfurnished,2,South-East,200000.0,84000,600,0,5,16,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1
95,Fully Furnished,3,North-West,300000.0,110000,1500,0,10,18,5,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
96,Unfurnished,2,West,250000.0,80000,746,0,8,16,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0
97,Semi Furnished,2,West,250000.0,100000,950,0,6,21,3,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
98,Unfurnished,2,East,300000.0,125000,1150,1,15,35,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
99,Unfurnished,2,North-East,200000.0,75000,850,0,5,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,Semi Furnished,2,East,150000.0,72000,851,1,10,19,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
101,Unfurnished,2,West,160000.0,68000,893,0,7,19,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
103,Unfurnished,2,North-West,200000.0,85000,666,0,7,16,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1
104,Fully Furnished,3,West,300000.0,110000,1500,1,0,7,15,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
105,Semi Furnished,2,West,200000.0,68000,890,1,0,7,10,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1
106,Unfurnished,2,South-East,350000.0,111000,766,0,9,15,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
107,Unfurnished,3,North,500000.0,135000,902,0,15,16,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
108,Unfurnished,2,North-East,250000.0,85000,1050,0,14,16,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
109,Unfurnished,2,South,200000.0,69000,600,0,5,16,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1
110,Semi Furnished,2,North-East,150000.0,48000,550,0,6,16,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
111,Unfurnished,3,East,400000.0,110000,770,0,10,16,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
112,Fully Furnished,2,East,300000.0,100000,665,0,7,16,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
